city,country,date,lat,lon,max_temp,humidity,cloudiness,wind_speed
Mar del Plata,AR,1631344906,-38.0023,-57.5575,10.01,100,90,2.06
Samfya,ZM,1631344907,-11.3649,29.5565,21.02,46,0,7.36
Tupanciretã,BR,1631344908,-29.0806,-53.8358,8.01,90,0,0.85
Saint-Philippe,RE,1631344908,-21.3585,55.7679,25.75,77,35,5.54
Prince Rupert,CA,1631344909,54.3161,-130.3201,13.05,84,90,4.12
Camaçari,BR,1631344910,-12.6975,-38.3242,20.87,90,32,1.37
Tasiilaq,GL,1631344911,65.6145,-37.6368,0.09,42,7,2.92
Saint-Augustin,CA,1631344912,51.226,-58.6502,15.38,98,100,3.95
Saskylakh,RU,1631344913,71.9167,114.0833,19.0,51,43,5.37
Darnah,LY,1631344913,32.767,22.6367,27.27,43,0,1.9
Sirte,LY,1631344914,31.2089,16.5887,32.39,34,5,9.16
Otane,NZ,1631344915,-39.8833,176.6333,9.45,72,0,1.66
Skibbereen,IE,1631344916,51.55,-9.2667,12.89,83,100,3.47
Córdoba,AR,1631344734,-31.4135,-64.1811,13.57,71,0,6.17
Mattawa,US,1631344918,46.7379,-119.9028,17.29,86,100,1.66
Tabas,IR,1631344918,33.5959,56.9244,31.36,13,0,1.17
Mahébourg,MU,1631344920,-20.4081,57.7,24.58,69,75,7.2
Cayenne,GF,1631344921,4.9333,-52.3333,26.16,84,0,0.0
Nouadhibou,MR,1631344921,20.931,-17.0347,23.25,90,100,0.95
Aliaga,PH,1631344922,15.5167,120.8667,25.45,94,100,3.95
Padang,ID,1631344923,-0.9492,100.3543,31.03,72,99,2.65
Mount Gambier,AU,1631344924,-37.8333,140.7667,13.95,72,75,7.72
Clyde River,CA,1631344925,70.4692,-68.5914,-0.35,76,91,2.49
Saint Paul Harbor,US,1631344926,57.79,-152.4072,9.42,78,28,3.03
Gucheng,CN,1631344927,35.9115,111.3192,33.34,27,0,4.56
Severo-Kuril'sk,RU,1631344928,50.6789,156.125,8.73,59,59,7.19
Garoowe,SO,1631344929,8.4054,48.4845,30.94,35,72,12.12
Alta Floresta,BR,1631344930,-9.8756,-56.0861,22.46,77,5,1.22
Amapá,BR,1631344930,1.0,-52.0,20.18,99,30,0.73
Korla,CN,1631344931,41.7597,86.1469,30.02,15,100,2.64
Dumas,US,1631344932,35.8656,-101.9732,26.68,24,1,7.2
Ziro,IN,1631344752,27.6333,93.8333,24.41,47,58,1.92
Teahupoo,PF,1631344934,-17.8333,-149.2667,19.98,71,80,5.66
Charagua,BO,1631344935,-19.8,-63.2167,16.55,36,99,0.68
Bacolod City,PH,1631344935,10.6667,122.95,29.55,75,98,4.28
Turukhansk,RU,1631344936,65.8167,87.9833,10.68,71,88,7.45
Te Anau,NZ,1631344937,-45.4167,167.7167,3.42,93,100,1.49
San Patricio,US,1631344938,28.017,-97.5169,28.8,60,0,3.1
Sai Buri,TH,1631344939,6.7013,101.6168,30.52,61,100,5.07
Talnakh,RU,1631344941,69.4865,88.3972,5.36,96,100,7.48
Avarua,CK,1631344942,-21.2078,-159.775,23.03,88,40,2.06
Carutapera,BR,1631344943,-1.195,-46.02,25.17,80,15,3.42
Port Hardy,CA,1631344944,50.6996,-127.4199,12.1,94,90,0.0
Lakes Entrance,AU,1631344945,-37.8811,147.981,23.65,38,30,4.17
Petropavlovsk-Kamchatskiy,RU,1631344920,53.0452,158.6483,11.33,35,40,4.0
Olavarría,AR,1631344946,-36.8927,-60.3225,7.2,97,93,3.18
Itarema,BR,1631344947,-2.9248,-39.9167,25.44,87,31,6.38
Visnes,NO,1631344948,59.3556,5.2242,16.99,94,90,4.12
Olafsvik,IS,1631344949,64.8945,-23.7142,9.81,83,100,3.49
Airai,TL,1631344950,-8.9266,125.4092,20.77,66,99,1.33
Dovers,VC,1631344951,12.8833,-61.1833,27.6,75,100,6.54
Upernavik,GL,1631344952,72.7868,-56.1549,-4.12,56,42,2.92
Charter Township of Clinton,US,1631344952,42.587,-82.9199,19.05,84,20,3.6
Ust'-Kut,RU,1631344953,56.7938,105.7672,9.23,83,100,1.67
Fortuna,US,1631344954,40.5982,-124.1573,12.96,74,1,0.0
Vardø,NO,1631344955,70.3705,31.1107,6.97,71,74,7.75
